ground_truth,face_pred,audio_pred,v3_pred,mlp_pred
Happy,Neutral,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Neutral,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Happy,Happy,Happy,Happy
Happy,Neutral,Happy,Happy,Happy
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Neutral,Neutral,Neutral
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Disgust,Disgust,Disgust
Sad,Sad,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Angry,Angry,Angry
Sad,Neutral,Neutral,Neutral,Neutral
Sad,Neutral,Disgust,Disgust,Disgust
Sad,Sad,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Happy,Neutral,Happy
Sad,Neutral,Disgust,Disgust,Disgust
Sad,Sad,Sad,Sad,Sad
Sad,Neutral,Sad,Neutral,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Neutral,Neutral,Neutral
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Disgust,Sad,Disgust
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Fear,Fear,Fear
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Disgust,Disgust,Disgust
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Disgust,Disgust,Disgust
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Sad
Sad,Neutral,Sad,Sad,Fear
Sad,Neutral,Sad,Sad,Sad
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Fear,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Angry,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Angry,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Angry,Angry,Angry,Angry
Angry,Neutral,Surprise,Neutral,Surprise
Angry,Angry,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Angry,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Angry,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Sad,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Angry,Angry,Angry,Angry
Angry,Sad,Angry,Angry,Angry
Angry,Angry,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Angry,Neutral,Angry,Angry,Angry
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Disgust,Disgust,Disgust
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Happy,Happy,Sad
Fear,Neutral,Fear,Fear,Fear
Fear,Sad,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Sad,Happy,Happy,Sad
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Fear,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Sad,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Neutral,Fear,Fear,Fear
Fear,Sad,Fear,Fear,Fear
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Fear,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Angry,Surprise,Surprise,Surprise
Disgust,Sad,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Angry
Disgust,Angry,Angry,Angry,Angry
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Disgust,Fear,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Sad,Disgust,Disgust,Disgust
Disgust,Neutral,Disgust,Disgust,Disgust
Disgust,Angry,Disgust,Disgust,Disgust
Surprise,Neutral,Surprise,Neutral,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Disgust,Disgust,Disgust
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Sad,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Neutral,Surprise
Surprise,Neutral,Surprise,Neutral,Surprise
Surprise,Neutral,Surprise,Neutral,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Neutral,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Sad,Surprise,Surprise,Surprise
Surprise,Neutral,Neutral,Neutral,Neutral
Surprise,Fear,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Fear,Surprise,Neutral,Surprise
Surprise,Neutral,Happy,Happy,Happy
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Neutral,Surprise
Surprise,Neutral,Surprise,Neutral,Surprise
Surprise,Neutral,Surprise,Neutral,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Sad,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Surprise,Surprise
Surprise,Neutral,Surprise,Happy,Happy
Surprise,Neutral,Surprise,Surprise,Surprise
