video_num,video_path,age_group,ground_truth_valence,predicted_valence,predicted_score,score_positive,score_neutral,score_negative,correct,frames_total,frames_analysed,frames_failed,latency_ms,timestamp
14,/Users/anushka/Desktop/Capstone/Dataset/chinese_Old_Neutral.mp4,old,neutral,neutral,70.9398,27.0401,70.9398,2.0199,1,122,29,1,2047.17,2026-03-10T10:35:45
15,/Users/anushka/Desktop/Capstone/Dataset/chinese_Old_Positive.mp4,old,positive,neutral,61.7126,37.0462,61.7126,1.241,0,123,30,0,4140.47,2026-03-10T10:35:49
16,/Users/anushka/Desktop/Capstone/Dataset/indian_Old_Negative.mp4,old,negative,neutral,78.194,18.7406,78.194,3.0652,0,122,30,0,4137.72,2026-03-10T10:35:53
17,/Users/anushka/Desktop/Capstone/Dataset/indian_Old_Positive.mp4,old,positive,neutral,61.1141,38.0244,61.1141,0.8614,0,194,30,0,2110.84,2026-03-10T10:35:55
18,/Users/anushka/Desktop/Capstone/Dataset/japanese_Old_Negative.mp4,old,negative,neutral,74.9922,22.5673,74.9922,2.4403,0,194,30,0,2108.83,2026-03-10T10:35:57
19,/Users/anushka/Desktop/Capstone/Dataset/korean_Old_Neutral.mp4,old,neutral,neutral,71.4182,26.2718,71.4182,2.3099,1,194,30,0,2125.85,2026-03-10T10:35:59
20,/Users/anushka/Desktop/Capstone/Dataset/malay_Old_Neutral.mp4,old,neutral,neutral,67.0625,31.0232,67.0625,1.9141,1,121,30,0,2104.43,2026-03-10T10:36:02
21,/Users/anushka/Desktop/Capstone/Dataset/malay_Old_Positive.mp4,old,positive,neutral,62.2312,36.8555,62.2312,0.9131,0,121,30,0,2076.98,2026-03-10T10:36:04
22,/Users/anushka/Desktop/Capstone/Dataset/Popo_Old_Negative.MOV,old,negative,neutral,67.6067,30.6102,67.6067,1.783,0,344,30,0,2236.51,2026-03-10T10:36:06
23,/Users/anushka/Desktop/Capstone/Dataset/Popo_Old_Neutral.MOV,old,neutral,neutral,68.1692,30.1536,68.1692,1.6771,1,313,30,0,2227.72,2026-03-10T10:36:08
24,/Users/anushka/Desktop/Capstone/Dataset/Popo_Old_Positive.MOV,old,positive,neutral,64.4447,33.9713,64.4447,1.5838,0,339,30,0,2248.14,2026-03-10T10:36:10
25,/Users/anushka/Desktop/Capstone/Dataset/Shirley_Negative.MOV,young,negative,neutral,78.2727,18.8771,78.2727,2.85,0,319,30,0,2220.97,2026-03-10T10:36:13
26,/Users/anushka/Desktop/Capstone/Dataset/Shirley_Neutral.MOV,young,neutral,neutral,78.1324,19.0469,78.1324,2.8207,1,318,30,0,2216.27,2026-03-10T10:36:15
27,/Users/anushka/Desktop/Capstone/Dataset/Shirley_Positive.MOV,young,positive,neutral,63.764,35.188,63.764,1.048,0,326,30,0,2249.88,2026-03-10T10:36:17
28,/Users/anushka/Desktop/Capstone/Dataset/Sidney_Negative.MOV,young,negative,neutral,87.1924,9.1927,87.1924,3.6147,0,310,30,0,2228.39,2026-03-10T10:36:19
29,/Users/anushka/Desktop/Capstone/Dataset/Sidney_Neutral.MOV,young,neutral,neutral,87.1478,8.6544,87.1478,4.1977,1,325,30,0,2221.29,2026-03-10T10:36:22
30,/Users/anushka/Desktop/Capstone/Dataset/Sidney_Positive.MOV,young,positive,neutral,67.7972,30.1397,67.7972,2.0631,0,323,30,0,2231.78,2026-03-10T10:36:24
31,/Users/anushka/Desktop/Capstone/Dataset/Sourick_Negative.MOV,young,negative,neutral,70.8606,26.0549,70.8606,3.0844,0,142,23,7,2691.92,2026-03-10T10:36:27
32,/Users/anushka/Desktop/Capstone/Dataset/Sourick_Neutral.MOV,young,neutral,neutral,71.4495,26.2487,71.4495,2.3017,1,314,29,1,2857.99,2026-03-10T10:36:29
33,/Users/anushka/Desktop/Capstone/Dataset/Sourick_Positive.MOV,young,positive,neutral,63.9626,35.3784,63.9626,0.6589,0,286,30,0,2815.34,2026-03-10T10:36:32
34,/Users/anushka/Desktop/Capstone/Dataset/YuQing_Negative.MOV,young,negative,neutral,81.6482,15.2035,81.6482,3.1482,0,351,30,0,1264.8,2026-03-10T10:36:33
35,/Users/anushka/Desktop/Capstone/Dataset/YuQing_Neutral.MOV,young,neutral,neutral,86.5997,9.6556,86.5997,3.7446,1,346,30,0,1285.39,2026-03-10T10:36:35
36,/Users/anushka/Desktop/Capstone/Dataset/YuQing_Positive.MOV,young,positive,neutral,68.7581,29.4609,68.7581,1.7809,0,328,30,0,1244.11,2026-03-10T10:36:36
