video_num,video_path,age_group,ground_truth_valence,predicted_valence,predicted_score,score_positive,score_neutral,score_negative,correct,frames_total,frames_analysed,frames_failed,latency_ms,timestamp
11,/Users/anushka/Desktop/Capstone/Dataset/AnushkaGrandma_Old_Neutral.MOV,old,neutral,negative,69.4061,3.4197,27.1742,69.4061,0,228,30,0,29289.82,2026-03-10T14:24:52
12,/Users/anushka/Desktop/Capstone/Dataset/AnushkaGrandma_Old_Positive.MOV,old,positive,negative,69.0786,16.5714,14.35,69.0786,0,262,30,0,29227.88,2026-03-10T14:25:21
13,/Users/anushka/Desktop/Capstone/Dataset/asian_Old_Negative.mp4,old,negative,negative,99.6844,0.1126,0.203,99.6844,1,146,30,0,29085.68,2026-03-10T14:25:50
14,/Users/anushka/Desktop/Capstone/Dataset/chinese_Old_Neutral.mp4,old,neutral,negative,65.8759,19.8705,14.2536,65.8759,0,122,30,0,28940.7,2026-03-10T14:26:19
15,/Users/anushka/Desktop/Capstone/Dataset/chinese_Old_Positive.mp4,old,positive,positive,93.6166,93.6166,0.9449,5.4385,1,123,30,0,38571.23,2026-03-10T14:26:58
16,/Users/anushka/Desktop/Capstone/Dataset/indian_Old_Negative.mp4,old,negative,negative,99.2441,0.0785,0.6774,99.2441,1,122,30,0,35961.41,2026-03-10T14:27:34
17,/Users/anushka/Desktop/Capstone/Dataset/indian_Old_Positive.mp4,old,positive,positive,99.0736,99.0736,0.168,0.7584,1,194,30,0,31237.7,2026-03-10T14:28:05
18,/Users/anushka/Desktop/Capstone/Dataset/japanese_Old_Negative.mp4,old,negative,negative,95.7208,2.6784,1.6008,95.7208,1,194,30,0,32227.93,2026-03-10T14:28:37
19,/Users/anushka/Desktop/Capstone/Dataset/korean_Old_Neutral.mp4,old,neutral,positive,46.8829,46.8829,6.3235,46.7936,0,194,30,0,35710.47,2026-03-10T14:29:13
20,/Users/anushka/Desktop/Capstone/Dataset/malay_Old_Neutral.mp4,old,neutral,positive,75.7395,75.7395,1.6961,22.5644,0,121,30,0,35901.84,2026-03-10T14:29:49
21,/Users/anushka/Desktop/Capstone/Dataset/malay_Old_Positive.mp4,old,positive,positive,96.6162,96.6162,2.5608,0.8231,1,121,30,0,39392.29,2026-03-10T14:30:28
22,/Users/anushka/Desktop/Capstone/Dataset/Popo_Old_Negative.MOV,old,negative,positive,51.3421,51.3421,19.8276,28.8303,0,344,30,0,34726.88,2026-03-10T14:31:03
23,/Users/anushka/Desktop/Capstone/Dataset/Popo_Old_Neutral.MOV,old,neutral,positive,64.1486,64.1486,19.0142,16.8372,0,313,30,0,34873.32,2026-03-10T14:31:38
24,/Users/anushka/Desktop/Capstone/Dataset/Popo_Old_Positive.MOV,old,positive,positive,64.7426,64.7426,2.5199,32.7375,1,339,30,0,31280.89,2026-03-10T14:32:09
25,/Users/anushka/Desktop/Capstone/Dataset/Shirley_Negative.MOV,young,negative,neutral,88.8875,1.163,88.8875,9.9495,0,319,30,0,39402.66,2026-03-10T14:32:48
26,/Users/anushka/Desktop/Capstone/Dataset/Shirley_Neutral.MOV,young,neutral,neutral,99.6476,0.2931,99.6476,0.0593,1,318,30,0,47717.44,2026-03-10T14:33:36
27,/Users/anushka/Desktop/Capstone/Dataset/Shirley_Positive.MOV,young,positive,positive,86.0992,86.0992,12.7436,1.1571,1,326,30,0,42854.45,2026-03-10T14:34:19
28,/Users/anushka/Desktop/Capstone/Dataset/Sidney_Negative.MOV,young,negative,neutral,75.3941,0.3832,75.3941,24.2227,0,310,30,0,37097.15,2026-03-10T14:34:56
29,/Users/anushka/Desktop/Capstone/Dataset/Sidney_Neutral.MOV,young,neutral,neutral,97.3302,0.0547,97.3302,2.6151,1,325,30,0,32553.57,2026-03-10T14:35:29
30,/Users/anushka/Desktop/Capstone/Dataset/Sidney_Positive.MOV,young,positive,positive,84.5868,84.5868,14.8163,0.5969,1,323,30,0,36278.81,2026-03-10T14:36:05
31,/Users/anushka/Desktop/Capstone/Dataset/Sourick_Negative.MOV,young,negative,negative,51.0597,7.8858,41.0545,51.0597,1,142,30,0,41339.17,2026-03-10T14:36:46
32,/Users/anushka/Desktop/Capstone/Dataset/Sourick_Neutral.MOV,young,neutral,neutral,99.1037,0.3189,99.1037,0.5774,1,314,30,0,31069.57,2026-03-10T14:37:17
33,/Users/anushka/Desktop/Capstone/Dataset/Sourick_Positive.MOV,young,positive,positive,64.832,64.832,34.9426,0.2254,1,286,30,0,35989.97,2026-03-10T14:37:53
34,/Users/anushka/Desktop/Capstone/Dataset/YuQing_Negative.MOV,young,negative,neutral,59.8991,6.9349,59.8991,33.166,0,351,30,0,33969.53,2026-03-10T14:38:27
35,/Users/anushka/Desktop/Capstone/Dataset/YuQing_Neutral.MOV,young,neutral,neutral,94.8099,1.3609,94.8099,3.8291,1,346,30,0,33845.37,2026-03-10T14:39:01
36,/Users/anushka/Desktop/Capstone/Dataset/YuQing_Positive.MOV,young,positive,positive,63.1087,63.1087,35.4322,1.4591,1,328,30,0,34152.92,2026-03-10T14:39:35
